N,OQS_mlkem512,OQS_mlkem768,OQS_mlkem1024,x448,x25519
0,176.406105,28.197587,26.278888,26.278888,26.278888
1,18.992610,18.896645,18.396207,18.396207,18.396207
2,21.832743,20.495820,16.957062,16.957062,16.957062
3,12.858894,11.076858,13.904482,13.904482,13.904482
4,10.120529,10.282070,12.086256,12.086256,12.086256
5,13.522308,13.566242,13.866663,13.866663,13.866663
6,8.156329,11.908147,8.528033,8.528033,8.528033
7,10.348752,8.819651,14.182909,14.182909,14.182909
8,11.073854,16.280806,18.140976,18.140976,18.140976
9,12.925107,13.871112,11.358321,11.358321,11.358321
10,11.307415,12.007814,9.787517,9.787517,9.787517
11,13.866123,11.515421,16.583234,16.583234,16.583234
12,11.643115,10.580774,8.491228,8.491228,8.491228
13,8.898343,8.580012,11.795495,11.795495,11.795495
14,10.908352,12.679203,9.217063,9.217063,9.217063
15,15.806076,13.103354,11.725528,11.725528,11.725528
16,8.897443,9.822669,9.264454,9.264454,9.264454
17,7.165558,7.099336,7.313340,7.313340,7.313340
18,6.766756,7.817012,9.132309,9.132309,9.132309
19,6.585191,8.109950,6.694066,6.694066,6.694066
20,9.877154,9.156868,7.237560,7.237560,7.237560
21,7.356687,9.023720,6.269946,6.269946,6.269946
22,7.211058,6.830148,6.529540,6.529540,6.529540
23,6.736195,7.867175,9.502069,9.502069,9.502069
24,8.838318,10.259452,11.824777,11.824777,11.824777
25,7.501550,10.145878,9.525479,9.525479,9.525479
26,8.388171,6.824403,8.765866,8.765866,8.765866
27,9.277483,8.676297,7.825689,7.825689,7.825689
28,8.166055,10.314934,8.721974,8.721974,8.721974
29,7.446772,7.672020,5.604781,5.604781,5.604781
30,5.804121,6.747193,5.198364,5.198364,5.198364
31,7.160029,5.648319,5.638135,5.638135,5.638135
32,7.721143,9.337405,6.562017,6.562017,6.562017
33,5.118886,5.850149,9.334936,9.334936,9.334936
34,7.793583,6.071224,7.131556,7.131556,7.131556
35,5.197287,6.129280,5.967053,5.967053,5.967053
36,4.444449,5.370005,5.448403,5.448403,5.448403
37,5.694025,4.695322,5.966104,5.966104,5.966104
38,6.125672,9.321395,9.498672,9.498672,9.498672
39,7.828177,4.875459,7.300315,7.300315,7.300315
40,4.945152,6.221781,5.115712,5.115712,5.115712
41,5.165314,5.184576,7.589893,7.589893,7.589893
42,5.532296,6.791349,6.422278,6.422278,6.422278
43,4.827032,6.825791,13.085333,13.085333,13.085333
44,6.803370,6.553332,7.328884,7.328884,7.328884
45,7.342495,7.330519,9.262014,9.262014,9.262014
46,5.612501,6.137970,6.313162,6.313162,6.313162
47,5.845427,6.438263,5.756633,5.756633,5.756633
48,7.244595,7.029636,8.233238,8.233238,8.233238
49,10.736052,6.393164,7.899422,7.899422,7.899422
50,8.204216,4.940002,5.507461,5.507461,5.507461
51,6.793856,5.711044,5.464479,5.464479,5.464479
52,4.804018,4.619026,5.028323,5.028323,5.028323
53,6.048929,8.810780,11.795833,11.795833,11.795833
54,8.077740,8.152596,8.670836,8.670836,8.670836
55,5.004628,5.703317,6.444932,6.444932,6.444932
56,4.982303,4.673237,7.991964,7.991964,7.991964
57,4.682249,4.781894,6.580082,6.580082,6.580082
58,4.760624,6.470386,8.068121,8.068121,8.068121
59,6.771113,7.952703,6.252263,6.252263,6.252263
60,7.047185,6.027285,5.820287,5.820287,5.820287
61,5.674584,6.000837,7.986306,7.986306,7.986306
62,5.459579,4.303418,4.864965,4.864965,4.864965
63,6.680415,5.307584,6.139849,6.139849,6.139849
64,8.324867,5.598711,5.885661,5.885661,5.885661
65,7.222781,6.290705,4.532244,4.532244,4.532244
66,4.567785,6.026038,6.411555,6.411555,6.411555
67,4.330328,9.193601,6.645432,6.645432,6.645432
68,4.038966,4.436593,4.782261,4.782261,4.782261
69,6.344079,6.560822,8.695109,8.695109,8.695109
70,6.951862,7.141364,7.955493,7.955493,7.955493
71,8.120016,8.284415,4.972141,4.972141,4.972141
72,7.057916,5.890583,4.468478,4.468478,4.468478
73,7.066689,4.331476,5.369671,5.369671,5.369671
74,4.640358,4.562694,5.410127,5.410127,5.410127
75,3.912402,4.106000,4.436423,4.436423,4.436423
76,4.722522,6.573301,8.395960,8.395960,8.395960
77,6.198465,7.724917,4.808237,4.808237,4.808237
78,5.074242,4.274577,4.379098,4.379098,4.379098
79,7.090080,4.111764,4.107968,4.107968,4.107968
80,4.096970,4.934616,4.779052,4.779052,4.779052
81,5.122915,4.111884,5.387406,5.387406,5.387406
82,6.173302,5.380386,7.151108,7.151108,7.151108
83,9.935956,7.166202,6.959263,6.959263,6.959263
84,4.924281,5.780738,5.528759,5.528759,5.528759
85,7.653947,5.940822,5.060902,5.060902,5.060902
86,4.898036,4.008178,6.984366,6.984366,6.984366
87,4.102151,5.896433,4.995315,4.995315,4.995315
88,4.435492,4.754493,5.539069,5.539069,5.539069
89,4.966890,4.756233,6.227733,6.227733,6.227733
90,5.457514,4.517703,6.054384,6.054384,6.054384
91,4.670450,5.756708,7.770662,7.770662,7.770662
92,5.259052,3.928855,5.381629,5.381629,5.381629
93,5.489637,3.708327,4.306855,4.306855,4.306855
94,3.638072,3.812509,4.008606,4.008606,4.008606
95,4.302892,4.525423,4.747292,4.747292,4.747292
96,5.285842,6.282658,7.322601,7.322601,7.322601
97,6.598953,5.334527,7.811878,7.811878,7.811878
98,5.296330,4.389991,4.516021,4.516021,4.516021
99,4.643422,4.349378,4.391836,4.391836,4.391836
